GBIF.common.name,LPI.common.name,species
Angler / Anglerfish,Anglerfish,Lophius piscatorius
Arctic / Mountain hare,Arctic / Mountain hare,Lepus timidus
Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus
Arctic loon / Black-throated diver,Arctic loon / Black-throated diver,Gavia arctica
Arctic tern,Arctic tern,Sterna paradisaea
Argentine / Atlantic argentine / Great silver smelt,Atlantic argentine,Argentina silus
Atlantic cod / Cod,Atlantic cod / Cod,Gadus morhua
Atlantic halibut / Fletch / Flitch,Atlantic halibut,Hippoglossus hippoglossus
Atlantic herring,Atlantic herring,Clupea harengus
Atlantic horse mackerel / Blue mackerel / Common scad,Atlantic horse mackerel,Trachurus trachurus
Atlantic mackerel / Joey / Mackerel,Atlantic mackerel,Scomber scombrus
Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus
Atlantic puffin,Atlantic puffin,Fratercula arctica
Atlantic salmon,Atlantic salmon,Salmo salar
Atlantic wolffish / Cat-fish,Atlantic wolffish,Anarhichas lupus
Balearic shearwater,Balearic shearwater,Puffinus mauretanicus
Baltic flounder,Baltic flounder,Platichthys flesus
Bank vole,Bank vole,Myodes glareolus
Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica
Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis
Basking shark,Basking shark,Cetorhinus maximus
Bean goose,Bean goose,Anser fabalis
Black-bellied angler / Blackbellied angler / European anglerfish / Black bellied anglerfish,Black bellied anglerfish,Lophius budegassa
Black guillemot,Black guillemot,Cepphus grylle
Black-billed magpie / Eurasian magpie,Black-billed magpie / Eurasian magpie,Pica pica
Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla
Black-tailed godwit,Black-tailed godwit,Limosa limosa
Blackbelly rosefish / Blue-mouth / Blue-mouth redfish,Blackbelly rosefish,Helicolenus dactylopterus
Blackcap,Blackcap,Sylvia atricapilla
Blonde ray,Blonde ray,Raja brachyura
Blue tit,Blue tit,Parus caeruleus
Blue whiting / Couch's whiting,Blue whiting,Micromesistius poutassou
Boar fish,Boar-fish,Capros aper
Bottlenose dolphin,Bottlenose dolphin,Tursiops truncatus
Brown long-eared bat,Brown long-eared bat,Plecotus auritus
Brown trout / Sea trout,Brown trout / Sea trout,Salmo trutta
Bullfinch / Eurasian bullfinch,Bullfinch / Eurasian bullfinch,Pyrrhula pyrrhula
Canada goose,Canada goose,Branta canadensis
Carrion crow / Hooded crow,Carrion crow / Hooded crow,Corvus corone
Cetti's warbler,Cetti's warbler,Cettia cetti
Chaffinch,Chaffinch,Fringilla coelebs
Chiffchaff / Common chiffchaff,Chiffchaff / Common chiffchaff,Phylloscopus collybita
Cirl bunting,Cirl bunting,Emberiza cirlus
Coal tit,Coal tit,Parus ater
Common blackbird / Eurasian blackbird,Common blackbird / Eurasian blackbird,Turdus merula
Common buzzard,Common buzzard,Buteo buteo
Common cuckoo / Eurasian cuckoo,Common cuckoo / Eurasian cuckoo,Cuculus canorus
Common eider,Common eider,Somateria mollissima
Common goby,Common goby,Pomatoschistus microps
Common goldeneye,Common goldeneye,Bucephala clangula
Common kestrel,Common kestrel,Falco tinnunculus
Common Lizard / Viviparous Lizard,Common Lizard / Viviparous Lizard,Zootoca vivipara
Common merganser,Common merganser / Goosander,mergus merganser
Common moorhen / Moorhen,Common moorhen / Moorhen,Gallinula chloropus
Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge
Common pintail / Northern pintail,Common pintail / Northern pintail,Anas acuta
Common pipistrelle,Common pipistrelle,Pipistrellus pipistrellus
Common pochard / European pochard,Common pochard / European pochard,Aythya ferina
Common raven / Raven,Common raven / Raven,Corvus corax
Common ringed plover / Ringed plover,Common ringed plover / Ringed plover,Charadrius hiaticula
Common sandpiper,Common sandpiper,Actitis hypoleucos
Common shelduck,Common shelduck,Tadorna tadorna
Gray mouth dog / Houndshark / Common smoothound,Common smoothound,Mustelus mustelus
Common sole,Common sole,Dover sole
Common starling / European starling,Common starling / European starling,Sturnus vulgaris
Common teal / teal,Common teal / Green-winged teal,Anas crecca
Common tern,Common tern,Sterna hirundo
Common toad,Common toad,Bufo bufo
Common Wall Lizard,Common Wall Lizard,Podarcis muralis
Corn bunting,Corn bunting,Miliaria calandra
Corncrake,Corncrake,Crex crex
Cuckoo ray / sandy ray,Cuckoo ray,Raja naevus
Daubenton's bat,Daubenton's bat,Myotis daubentonii
Dragonet,Dragonet,Callionymus lyra
Dunlin,Dunlin,Calidris alpina
Dunnock / Hedge accentor / Hedge sparrow,Dunnock / Hedge accentor / Hedge sparrow,Prunella modularis
Eurasian coot,Eurasian coot / Common coot,Fulica atra
Eurasian curlew,Eurasian curlew,Numenius arquata
Eurasian golden plover,Eurasian golden plover,Pluvialis apricaria
Eurasian golden-oriole / Golden oriole,Eurasian golden-oriole / Golden oriole,Oriolus oriolus
Eurasian jackdaw / Jackdaw,Eurasian jackdaw / Jackdaw,Corvus monedula
Eurasian otter / European river otter,Eurasian otter / European river otter,Lutra lutra
Eurasian oystercatcher,Eurasian oystercatcher,Haematopus ostralegus
Eurasian perch,Eurasian perch,Perca fluviatilis
Eurasian red squirrel,Eurasian red squirrel,Sciurus vulgaris
Eurasian skylark,Eurasian skylark,Alauda arvensis
Eurasian sparrowhawk / Northern sparrowhawk,Eurasian sparrowhawk / Northern sparrowhawk,Accipiter nisus
Eurasian thick-knee / Stone curlew,Eurasian thick-knee / Stone curlew,Burhinus oedicnemus
Eurasian tree-creeper,Eurasian tree-creeper,Certhia familiaris
Eurasian wigeon,Eurasian wigeon,Mareca penelope
Eurasian woodcock,Eurasian woodcock,Scolopax rusticola
Anchovy / European anchovy,European anchovy,Engraulis encrasicolus
European badger,European badger,Meles meles
European eel,European eel,Anguilla anguilla
European goldfinch,European goldfinch,Carduelis carduelis
Cornish salmon / European hake / Hake,European hake,Merluccius merluccius
European hare / Brown hare,European hare / Brown hare,Lepus europaeus
European rabbit,European rabbit,Oryctolagus cuniculus
European roe deer,European roe deer,Capreolus capreolus
European shag,European shag,Phalacrocorax aristotelis
European sprat,European sprat,Sprattus sprattus
European storm-petrel,European storm-petrel,Hydrobates pelagicus
European turtle-dove,European turtle-dove,Streptopelia turtur
Flounder / brill,Flounder / brill,Scophthalmus rhombus
Fulmar / Northern fulmar,Fulmar / Northern fulmar,Fulmarus glacialis
Gadwall,Gadwall,Anas strepera
Garden warbler,Garden warbler,Sylvia borin
Garganey,Garganey,Anas querquedula
Golden eagle,Golden eagle,Aquila chrysaetos
Grass snake,Grass snake,Natrix natrix
Great bittern / European bittern,Great bittern / European bittern,Botaurus stellaris
Great black-backed gull,Great black-backed gull,Larus marinus
Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo
Great crested newt,Great crested newt,Triturus cristatus
Great skua,Great skua,Catharacta skua
Great spotted woodpecker,Great spotted woodpecker,Dendrocopos major
Great tit,Great tit,Parus major
Great-crested grebe,Great-crested grebe,Podiceps cristatus
Greater horseshoe bat,Greater horseshoe bat,Rhinolophus ferrumequinum
Greater scaup,Greater scaup,Aythya marila
Greater white-fronted goose / White-fronted goose,Greater white-fronted goose / White-fronted goose,Anser albifrons
Greater whitethroat / Common Whitethroat,Greater whitethroat / Common Whitethroat,Sylvia communis
Green woodpecker / Eurasian green woodpecker,Green woodpecker / Eurasian green woodpecker,Picus viridis
Greenshank / Common greenshank,Greenshank / Common greenshank,Tringa nebularia
Grey heron,Grey heron,Ardea cinerea
Grey partridge,Grey partridge,Perdix perdix
Grey plover / Black-bellied plover,Grey plover / Black-bellied plover,Pluvialis squatarola
Grey seal,Grey seal,Halichoerus grypus
Greylag goose,Greylag goose,Anser anser
Haddock,Haddock,Melanogrammus aeglefinus
Harbour porpoise,Harbour seal,Phoca vitulina
Harbour seal,Harbour seal,Phoca vitulina
Hen harrier,Hen harrier,Circus cyaneus
Herring gull,Herring gull,Larus argentatus
Hobby,Hobby,Falco subbuteo
House sparrow,House sparrow,Passer domesticus
Bunch whale / Humpback whale,Humpback whale,Megaptera novaeangliae
Jay / Eurasian jay,Jay / Eurasian jay,Garrulus glandarius
John dory / Atlantic john dory,John dory,Zeus faber
Killer whale / Orca,Killer whale / Orca,Orcinus orca
Knot / Red knot,Knot / Red knot,Calidris canutus
Lapwing / Northern lapwing,Lapwing / Northern lapwing,Vanellus vanellus
Argentine / European argentine / Lesser argentine,Lesser argentine,Argentina sphyraena
Lesser black-backed gull,Lesser black-backed gull,Larus fuscus
Lesser horseshoe bat,Lesser horseshoe bat,Rhinolophus hipposideros
Lesser spotted woodpecker,Lesser spotted woodpecker,Dryobates minor
Lesser weever / Sting-fish,Lesser weever,Echiichthys vipera
Brant,Light-bellied brent goose / Dark-bellied brent goose,Branta bernicla
Dark-bellied brent goose,Light-bellied brent goose / Dark-bellied brent goose,Branta bernicla
Light-bellied brent goose,Light-bellied brent goose / Dark-bellied brent goose,Branta bernicla
Ling / Common ling / European ling,Ling,Molva molva
Linnet / Eurasian linnet,Linnet / Eurasian linnet,Carduelis cannabina
Little auk / Dovekie,Little auk / Dovekie,Alle alle
Little egret,Little egret,Egretta garzetta
Little grebe,Little grebe,Tachybaptus ruficollis
Little tern,Little tern,Sternula albifrons
Long-finned pilot whale,Long-finned pilot whale,Globicephala melas
Long-tailed duck,Long-tailed duck,Clangula hyemalis
Long-tailed tit,Long-tailed tit,Aegithalos caudatus
Lumpfish / Lumpsucker,Lumpfish / Lumpsucker,Cyclopterus lumpus
Mallard / Common mallard,Mallard / Common mallard,Anas platyrhynchos
Manx shearwater,Manx shearwater,Puffinus puffinus
Marsh tit,Marsh tit,Parus palustris
Meadow pipit,Meadow pipit,Anthus pratensis
Mediterranean gull,Mediterranean gull,Larus melanocephalus
Megrim / Flounder / Whiff,Megrim,Lepidorhombus whiffiagonis
Merlin,Merlin,Falco columbarius
Mew gull,Mew gull,Larus canus
Minke whale,Minke whale,Balaenoptera acutorostrata
Mistle thrush,Mistle thrush,Turdus viscivorus
Mute swan,Mute swan,Cygnus olor
Natterer's bat,Natterer's bat,Myotis nattereri
Natterjack toad,Natterjack toad,Epidalea calamita
Nilsson's pipefish,Nilsson's pipefish,Syngnathus rostellatus
Noctule bat,Noctule bat,Nyctalus noctula
Northern gannet,Northern gannet,Morus bassanus
Northern goshawk,Northern goshawk,Accipiter gentilis
Northern shoveler,Northern shoveler,Anas clypeata
Northern wheatear,Northern wheatear,Oenanthe oenanthe
Norway pout,Norway pout,Trisopterus esmarkii
Norwegian topknot,Norwegian topknot,Phrynorhombus norvegicus
Nutria / Coypu,Nutria / Coypu,Myocastor coypus
Osprey,Osprey,Pandion haliaetus
Peregrine falcon,Peregrine falcon,Falco peregrinus
Pike / Northern pike,Pike / Northern pike,Esox lucius
Pink-footed goose,Pink-footed goose,Anser brachyrhynchus
Plaice,Plaice,Pleuronectes platessa
Pogge,Pogge,Agonus cataphractus
Atlantic pollock / Callagh / Coalfish,Pollack,Pollachius pollachius
Pollock / Billet / Coal-fish,Pollock / Saithe,Pollachius virens
Poor cod,Poor cod,Trisopterus minutus
Pouting,Pouting,Trisopterus luscus
Purple sandpiper,Purple sandpiper,Calidris maritima
Razorbill,Razorbill,Alca torda
Red deer / Elk,Red deer / Elk,Cervus elaphus
Red fox,Red fox,Vulpes vulpes
Red gurnard / East Atlantic red gurnard,Red gurnard,Chelidonichthys cuculus
Red kite,Red kite,Milvus milvus
Red-breasted merganser,Red-breasted merganser,Mergus serrator
Red-crested pochard,Red-crested pochard,Netta rufina
Red-legged partridge,Red-legged partridge,Alectoris rufa
Red-necked phalarope,Red-necked phalarope,Phalaropus lobatus
Red-throated loon,Red-throated loon,Gavia stellata
Redshank / Common redshank,Redshank / Common redshank,Tringa totanus
Reed bunting,Reed bunting,Emberiza schoeniclus
Reed warbler / Eurasian reed-warbler,Reed warbler / Eurasian reed-warbler,Acrocephalus scirpaceus
Ring ouzel,Ring ouzel,Turdus torquatus
Ring-necked pheasant / Common pheasant,Ring-necked pheasant / Common pheasant,Phasianus colchicus
Robin / European robin,Robin / European robin,Erithacus rubecula
Rook,Rook,Corvus frugilegus
Roseate tern,Roseate tern,Sterna dougallii
Ruddy duck,Ruddy duck,Oxyura jamaicensis
Ruddy turnstone / Turnstone,Ruddy turnstone / Turnstone,Arenaria interpres
Sand eel,Sand eel,Ammodytes marinus
Sanderling,Sanderling,Calidris alba
Sandwich tern,Sandwich tern,Thalasseus sandvicensis
Scaldfish,Scaldfish,Arnoglossus laterna
Sea bass,Sea bass,Dicentrarchus labrax
Sedge warbler,Sedge warbler,Acrocephalus schoenobaenus
Serotine bat,Serotine bat,Eptesicus serotinus
Short-beaked common dolphin,Short-beaked common dolphin,Delphinus delphis
Short-eared owl,Short-eared owl,Asio flammeus
Owl ray / Painted ray / Small-eyed ray,Small-eyed ray / Painted ray,Raja microocellata
Dogfish / Fay dog / Small-spotted catshark,Small-spotted catshark,Scyliorhinus canicula
Smooth newt,Smooth newt,Lissotriton vulgaris
Smooth snake,Smooth snake,Coronella austriaca
Snipe / Common snipe,Snipe / Common snipe,Gallinago gallinago
Snow bunting,Snow bunting,Plectrophenax nivalis
Solenette,Solenette,Solea lutea
Song thrush,Song thrush,Turdus philomelos
Soprano pipistrelle,Soprano pipistrelle,Pipistrellus pygmaeus
Spotted dragonet,Spotted dragonet,Callionymus maculatus
Spotted flycatcher,Spotted flycatcher,Muscicapa striata
Spotted ray / Homelyn ray / Spotted homelyn ray,Spotted ray,Raja montagui
Stock pigeon / stock dove,Stock pigeon / stock dove,Columba oenas
Striped dolphin / Blue dolphin / Blue-white dolphin / Euphrosyne dolphin,Striped dolphin,Stenella coeruleoalba
Surmullet / Red mullet / Red stripped mullet,Surmullet,Mullus surmuletus
Broad-bill sword-fish / Broadbill / Broadbill swordfish,Swordfish,Xiphias gladius
Tawny owl,Tawny owl,Strix aluco
Thinlip mullet,Thinlip mullet,Liza ramada
Maiden ray / Thornback ray,Thornback ray,Raja clavata
Three spined stickleback,Three spined stickleback,Gasterosteus aculeatus
Eastern school shark / Tope shark / Flake / Greyboy,Tope shark,Galeorhinus galeus
Tree sparrow / Eurasian tree sparrow,Tree sparrow / Eurasian tree sparrow,Passer montanus
Tub gurnard / Sapphirine gurnard / Searobin,Tub gurnard,Chelidonichthys lucerna
Tufted duck,Tufted duck,Aythya fuligula
Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus
Turbot / Britt / Breet,Turbot,Scopthalmus maximus
Brismak / Cusk / Tusk / Moonfish,Tusk / Cusk,Brosme brosme
Twaite shad,Twaite shad,Alosa fallax
Twite,Twite,Carduelis flavirostris
Water rail,Water rail,Rallus aquaticus
Western Green Lizard,Western Green Lizard,Lacerta bilineata
Western marsh harrier,Western marsh harrier,Circus aeruginosus
Whinchat,Whinchat,Saxicola rubetra
White wagtail / Pied wagtail,White wagtail / Pied wagtail,Motacilla alba
White-tailed eagle,White-tailed eagle,Haliaeetus albicilla
Whiting,Whiting,Merlangius merlangus
Whooper swan,Whooper swan,Cygnus cygnus
Wild boar / Wild pig,Wild boar / Wild pig,Sus scrofa
Willow grouse / Red grouse / Willow ptarmigan,Willow grouse / Red grouse / Willow ptarmigan,Lagopus lagopus
Willow tit,Willow tit,Parus montanus
Willow warbler,Willow warbler,Phylloscopus trochilus
Winter wren,Winter wren,Troglodytes troglodytes
Craig fluke / Flet / Gray sole / Witch flounder,Witch flounder,Glyptocephalus cynoglossus
Wood lark,Wood lark,Lullula arborea
Wood mouse,Wood mouse,Apodemus sylvaticus
Wood nuthatch / Eurasian nuthatch,Wood nuthatch / Eurasian nuthatch,Sitta europaea
Wood pigeon / Common wood-pigeon,Wood pigeon / Common wood-pigeon,Columba palumbus
Yellowhammer,Yellowhammer,Emberiza citrinella